6526,Ontario,Guelph,"Bachelor of Engineering in Water Resources Engineering","https://www.uoguelph.ca/engineering/undergraduate/prospective/water","University of Guelph","15-Engineering Technology",University
6245,Ontario,Ottawa,"Bachelor of Industrial Design","http://admissions.carleton.ca/programs/industrial-design/","Carleton University","15-Engineering Technology",University
38993,Manitoba,Brandon,"Bachelor of Science (Major in Geography – Environmental Science Concentration)","https://www.brandonu.ca/geography/degree-streams/environmental/","Brandon University","15-Engineering Technology",University
22640,Ontario,Peterborough,"Bachelor of Science in Computer Science & Physics","https://www.trentu.ca/futurestudents/degree/computing-systems-physics?target=undergraduate","Trent University","15-Engineering Technology",University
52375,Ontario,Peterborough,"Bachelor of Science in Computer Science & Physics (Honours)","https://www.trentu.ca/futurestudents/degree/computing-systems-physics?target=undergraduate","Trent University","15-Engineering Technology",University
34838,Ontario,Peterborough,"Bachelor of Science in Computing Systems  (Honours) option Software Engineering","https://www.trentu.ca/futurestudents/specialization/software-engineering?target=undergraduate","Trent University","15-Engineering Technology",University
27795,British Columbia,Victoria,"Bachelor of Science in Engineering in Software Engineering","http://www.uvic.ca/engineering/software/future-students/index.php","University of Victoria","15-Engineering Technology",University
17224,Manitoba,Brandon,"Bachelor of Science in Geography - Environmental Technologies: GIS (2+2)","https://www.brandonu.ca/geography/degree-streams/","Brandon University","15-Engineering Technology",University
36951,Alberta,Lethbridge,"Bachelor of Science in Remote Sensing","http://www.uleth.ca/artsci/remote-sensing/programs","University of Lethbridge","15-Engineering Technology",University
29112,British Columbia,Kamloops,"Bachelor of Technology","http://www.tru.ca/programs/catalogue/bachelor-of-technology.html","Thompson Rivers University","15-Engineering Technology",University
51892,Ontario,Oshawa,"Bachelor of Technology (BTech) in Sustainable Energy Systems","https://ontariotechu.ca/programs/energy-systems-and-nuclear-science/sustainable-energy-systems.php","OntarioTech University","15-Engineering Technology",University
51893,Ontario,Oshawa,"Bachelor of Technology (BTech) in Sustainable Energy Systems - Bridge","https://ontariotechu.ca/programs/energy-systems-and-nuclear-science/sustainable-energy-systems---bridge.php","OntarioTech University","15-Engineering Technology",University
13569,British Columbia,Kamloops,"Bachelor of Technology Degree","www.tru.ca/distance/programs/technology/bachelor-of-technology.html","Thompson Rivers University - Open Learning","15-Engineering Technology",University
27729,Ontario,Hamilton,"Bachelor of Technology Partnership: Combined Degree/Diploma Program","http://www.mohawkcollege.ca/index.php/programs/technology/bachelor-of-technology-partnership-combined-degreediploma-program","Mohawk College of Applied Arts and Technology","15-Engineering Technology",University
27731,Ontario,Hamilton,"Bachelor of Technology Partnership: Degree Completion Program","https://www.mohawkcollege.ca/programs/graduate-studies/bachelor-of-technology-partnership-degree-completion-program","Mohawk College of Applied Arts and Technology","15-Engineering Technology",University
12750,British Columbia,Burnaby,"Bachelor of Technology in Electronics","https://www.bcit.ca/study/programs/8900btech","British Columbia Institute of Technology (BCIT)","15-Engineering Technology",University
12746,British Columbia,Burnaby,"Bachelor of Technology in Environmental Engineering","https://www.bcit.ca/study/programs/8120btech","British Columbia Institute of Technology (BCIT)","15-Engineering Technology",University
26052,British Columbia,Burnaby,"Bachelor of Technology in Geomatics","https://www.bcit.ca/study/programs/8640bsc","British Columbia Institute of Technology (BCIT)","15-Engineering Technology",University
50191,Newfoundland and Labrador,St. John's,"Bachelor of Technology in Marine Environmental Technology","https://www.mi.mun.ca/programsandcourses/programs/marineenvironmentaltechnology/","Memorial University of Newfoundland","15-Engineering Technology",University
33116,Alberta,Edmonton,"Bachelor of Technology in Technology Management","http://www.nait.ca/program_home_78657.htm","Northern Alberta Institute of Technology (NAIT)","15-Engineering Technology",University
50178,Newfoundland and Labrador,St. John's,"Bachelor of Technology in Underwater Vehicles","https://www.mi.mun.ca/programsandcourses/programs/underwatervehicles/","Memorial University of Newfoundland","15-Engineering Technology",University
40368,Ontario,Hamilton,"Civil Engineering Infrastructure Technology Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18459&returnto=6690","McMaster University","15-Engineering Technology",University
20135,British Columbia,Cloverdale,"Computer Aided Design & Drafting: Diploma","https://www.kpu.ca/calendar/2018-19/science-hort/cadd/cadd-dip.html","Kwantlen Polytechnic University","15-Engineering Technology",University
41575,Ontario,London,"Diploma in Occupational Health and Safety Management","http://postdegree.uwo.ca/Programs/ohsm/index.html","University of Western Ontario","15-Engineering Technology",University
27666,Newfoundland and Labrador,St. John's,"Diploma of Technology in Marine Environmental Technology","https://www.mi.mun.ca/programsandcourses/programs/marineenvironmentaltechnology/","Memorial University of Newfoundland","15-Engineering Technology",University
41497,Ontario,Windsor,"Engineering (with optional Co-op)","http://www.uwindsor.ca/studentrecruitment/358/engineering-optional-co-op","University of Windsor","15-Engineering Technology",University
27907,Ontario,London,"Engineering Science in Green Process Engineering","https://www.eng.uwo.ca/undergraduate/programs/green-process.html","University of Western Ontario","15-Engineering Technology",University
41499,Ontario,Windsor,"Engineering Technology","http://www.uwindsor.ca/studentrecruitment/359/engineering-technology","University of Windsor","15-Engineering Technology",University
21158,Ontario,Waterloo,"Honours Bachelor of Applied Science and Bachelor of Software Engineering - Software Engineering Option","http://ugradcalendar.uwaterloo.ca/page/ENG-Software-Engineering","University of Waterloo","15-Engineering Technology",University
40801,Ontario,Waterloo,"Honours Bachelor of Science in Materials and Nanosciences","http://ugradcalendar.uwaterloo.ca/page/SCI-Honours-Materials-and-Nanoscience1","University of Waterloo","15-Engineering Technology",University
21314,Ontario,Hamilton,"Manufacturing Engineering Technology Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18462&returnto=6690","McMaster University","15-Engineering Technology",University
23947,Ontario,Ottawa,"Master of Computer Science in Human-Computer Interaction","http://graduate.carleton.ca/programs/human-computer-interaction-masters/","Carleton University","15-Engineering Technology",University
50626,Quebec,Westmount,"Mechanical Engineering Technology-Design Program","https://www.dawsoncollege.qc.ca/mechanical-engineering-technology/","Dawson College","15-Engineering Technology",University
41430,Ontario,London,"Mechatronic Systems Engineering","https://www.eng.uwo.ca/undergraduate/programs/mechatronic.html","University of Western Ontario","15-Engineering Technology",University
4208,British Columbia,Burnaby,"Mechatronic Systems Engineering and Business Double Degree Program Major (Bachelor of Applied Science and Bachelor of Business Administration)","http://www.sfu.ca/students/calendar/2018/summer/programs/mechatronic-systems-engineering-and-business-double-degree-program/major/bachelor-of-applied-science-and-bachelor-of-business-administration.html","Simon Fraser University","15-Engineering Technology",University
51277,Ontario,Waterloo,"Minor in Artificial Intelligence (Engineering)","http://ugradcalendar.uwaterloo.ca/page/ENG-Artificial-Intelligence-Engineering-Option","University of Waterloo","15-Engineering Technology",University
40370,Ontario,Hamilton,"Power and Energy Engineering Technologies Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18461&returnto=6690","McMaster University","15-Engineering Technology",University
38464,Ontario,Toronto,"Robotics and Mechatronics","http://www.future.utoronto.ca/undergraduate-programs/robotics-and-mechatronics","University of Toronto","15-Engineering Technology",University
40362,Ontario,Hamilton,"Software Engineering Technology Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18460&returnto=6690","McMaster University","15-Engineering Technology",University
21389,Ontario,Hamilton,"Technology (Certificate)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18672&returnto=6690","McMaster University","15-Engineering Technology",University
40602,Ontario,Hamilton,"Technology Leadership (Certificate)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18694&returnto=6690","McMaster University","15-Engineering Technology",University
13555,British Columbia,Kamloops,"Water Treatment Technology Diploma","https://www.tru.ca/distance/programs/technology/water-treatment.html","Thompson Rivers University - Open Learning","15-Engineering Technology",University
