48166,Ontario,Waterloo,"Master of Mathematics in Statistics - Probability","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
48167,Ontario,Waterloo,"Master of Mathematics in Statistics - Statistical Theory and Methods","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
48152,Ontario,Waterloo,"Master of Quantitative Finance - Statistics and Probability","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-quantitative-finance-mqf","University of Waterloo","27-Mathematics and Statistics",University - Master
7195,Ontario,Toronto,"Master of Science in Applied Mathematics","https://www.ryerson.ca/graduate/calendar/programs-and-courses/mathematics/","Ryerson University","27-Mathematics and Statistics",University - Master
22200,Ontario,London,"Master of Science in Applied Mathematics","https://grad.uwo.ca/admissions/programs/program.cfm?p=11","University of Western Ontario","27-Mathematics and Statistics",University - Master
34703,Nova Scotia,Wolfville,"Master of Science in Applied Mathematics & Statistics","https://math.acadiau.ca/program-information.html","Acadia University","27-Mathematics and Statistics",University - Master
21022,New Brunswick,Fredericton,"Master of Science in Applied Mathematics - Mathematics and Statistics","https://www.unb.ca/gradstudies/programs/math.html","University of New Brunswick","27-Mathematics and Statistics",University - Master
2748,New Brunswick,Fredericton,"Master of Science in Applied Mathematics and Theoretical Physics","https://www.unb.ca/gradstudies/programs/math.html","University of New Brunswick","27-Mathematics and Statistics",University - Master
9010,Ontario,Thunder Bay,"Master of Science in Mathematical Sciences (MSc)","https://www.lakeheadu.ca/academics/graduate/programs/masters/mathematical-sciences/node/7259","Lakehead University","27-Mathematics and Statistics",University - Master
21814,Ontario,Toronto,"Master of Science in Mathematics","http://www.sgs.utoronto.ca/prospectivestudents/Pages/Programs/Mathematics.aspx","University of Toronto","27-Mathematics and Statistics",University - Master
5108,British Columbia,Vancouver,"Master of Science in Mathematics","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-science-mathematics","University of British Columbia","27-Mathematics and Statistics",University - Master
6153,Ontario,Ottawa,"Master of Science in Mathematics","https://graduate.carleton.ca/cu-programs/mathematics-and-statistics-masters/","Carleton University","27-Mathematics and Statistics",University - Master
23279,Manitoba,Winnipeg,"Master of Science in Mathematics","http://umanitoba.ca/faculties/graduate_studies/admissions/programs/mathematics.html","University of Manitoba","27-Mathematics and Statistics",University - Master
39788,Ontario,North Bay,"Master of Science in Mathematics","http://academiccalendar.nipissingu.ca/~/Catalog/ViewCatalog.aspx?pageid=viewcatalog&catalogid=5&topicgroupid=1976","Nipissing University","27-Mathematics and Statistics",University - Master
23459,Alberta,Lethbridge,"Master of Science in Mathematics","https://www.uleth.ca/future-student/graduate-studies/master-science/mathematics","University of Lethbridge","27-Mathematics and Statistics",University - Master
10553,Saskatchewan,Saskatoon,"Master of Science in Mathematics","https://grad.usask.ca/programs/mathematics.php","University of Saskatchewan","27-Mathematics and Statistics",University - Master
11109,Ontario,London,"Master of Science in Mathematics","https://grad.uwo.ca/admissions/programs/program.cfm?p=84","University of Western Ontario","27-Mathematics and Statistics",University - Master
6437,Ontario,Guelph,"Master of Science in Mathematics & Statistics - Mathematics","https://www.uoguelph.ca/registrar/calendars/graduate/current/gradprog/math-msc.shtml","University of Guelph","27-Mathematics and Statistics",University - Master
52519,Ontario,Guelph,"Master of Science in Mathematics & Statistics - Statistics","https://www.uoguelph.ca/registrar/calendars/graduate/current/gradprog/math-msc.shtml","University of Guelph","27-Mathematics and Statistics",University - Master
22446,Ontario,Toronto,"Master of Science in Mathematics (Financial Mathematics)","https://www.ryerson.ca/graduate/programs/mathematics/","Ryerson University","27-Mathematics and Statistics",University - Master
36529,Ontario,Ottawa,"Master of Science in Mathematics (Probability and Statistics)","https://graduate.carleton.ca/cu-programs/mathematics-and-statistics-masters/","Carleton University","27-Mathematics and Statistics",University - Master
2718,New Brunswick,Fredericton,"Master of Science in Mathematics and Statistics","https://www.unb.ca/gradstudies/programs/math.html","University of New Brunswick","27-Mathematics and Statistics",University - Master
22885,British Columbia,Victoria,"Master of Science in Mathematics and Statistics","http://www.uvic.ca/science/math-statistics/future-students/graduate/programs/masters/index.php","University of Victoria","27-Mathematics and Statistics",University - Master
2363,Newfoundland and Labrador,St. John's,"Master of Science in Mathematics and Statistics","http://www.mun.ca/become/graduate/programs/mathstats.php","Memorial University of Newfoundland","27-Mathematics and Statistics",University - Master
35396,British Columbia,Kelowna,"Master of Science in Mathematics, Specialization in Mathematical Biology and Differential Equations - Okanagan","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-science-mathematics","University of British Columbia","27-Mathematics and Statistics",University - Master
46023,British Columbia,Kelowna,"Master of Science in Mathematics, Specialization in Number, Theory and Algebra - Okanagan","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-science-mathematics","University of British Columbia","27-Mathematics and Statistics",University - Master
35389,British Columbia,Kelowna,"Master of Science in Mathematics, Specialization in Optimization and Analysis - Okanagan","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-science-mathematics","University of British Columbia","27-Mathematics and Statistics",University - Master
286,Ontario,Toronto,"Master of Science in Statistics","http://www.sgs.utoronto.ca/prospectivestudents/Pages/Programs/Statistics.aspx","University of Toronto","27-Mathematics and Statistics",University - Master
5234,British Columbia,Vancouver,"Master of Science in Statistics","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-science-statistics","University of British Columbia","27-Mathematics and Statistics",University - Master
6770,Manitoba,Winnipeg,"Master of Science in Statistics","http://umanitoba.ca/faculties/graduate_studies/admissions/programs/statistics.html","University of Manitoba","27-Mathematics and Statistics",University - Master
11091,Ontario,London,"Master of Science in Statistics","https://grad.uwo.ca/admissions/programs/program.cfm?p=140","University of Western Ontario","27-Mathematics and Statistics",University - Master
27024,Alberta,Edmonton,"Mathematical and Statistical Sciences (MSc)","https://www.ualberta.ca/mathematical-and-statistical-sciences/graduate-studies","University of Alberta","27-Mathematics and Statistics",University - Master
24070,Ontario,Hamilton,"Mathematics (M.Sc.)","https://graduate.mcmaster.ca/programs/mathematics","McMaster University","27-Mathematics and Statistics",University - Master
8702,Nova Scotia,Halifax,"Mathematics (MSc)","https://www.dal.ca/academics/graduate_programs/mathematics.html","Dalhousie University","27-Mathematics and Statistics",University - Master
4125,British Columbia,Burnaby,"Mathematics (Master of Science)","http://www.sfu.ca/dean-gradstudies/future/academicprograms/faculty_of_science/mathematics.html","Simon Fraser University","27-Mathematics and Statistics",University - Master
23284,Manitoba,Winnipeg,"Pre-Master's in Mathematics","http://umanitoba.ca/faculties/graduate_studies/admissions/programs/mathematics.html#PreM","University of Manitoba","27-Mathematics and Statistics",University - Master
49989,Manitoba,Winnipeg,"Pre-Master's in Statistics","http://umanitoba.ca/faculties/graduate_studies/admissions/programs/statistics.html#PreM","University of Manitoba","27-Mathematics and Statistics",University - Master
24071,Ontario,Hamilton,"Statistics (M.Sc.)","https://graduate.mcmaster.ca/programs/statistics","McMaster University","27-Mathematics and Statistics",University - Master
8656,Nova Scotia,Halifax,"Statistics (MSc)","https://www.dal.ca/academics/graduate_programs/statistics.html","Dalhousie University","27-Mathematics and Statistics",University - Master
21296,British Columbia,Burnaby,"Statistics and Actuarial Science (Master of Science)","http://www.sfu.ca/dean-gradstudies/future/academicprograms/faculty_of_science/statistics.html","Simon Fraser University","27-Mathematics and Statistics",University - Master
